NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	36	0.9539570212364197	0.008400574	Yes	
row_1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	54	0.909200131893158	0.01757392	Yes	
row_2	CD274	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	66	0.8823838233947754	0.026847351	Yes	
row_3	PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	67	0.879595935344696	0.036830634	Yes	
row_4	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	79	0.8606908321380615	0.045857854	Yes	
row_5	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	83	0.8554574847221375	0.05536494	Yes	
row_6	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]	105	0.8175236582756042	0.06322814	Yes	
row_7	ZBP1	Z-DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:16176]	127	0.7973470687866211	0.07086234	Yes	
row_8	APOL6	apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]	141	0.7837222814559937	0.07888116	Yes	
row_9	DDO	D-aspartate oxidase [Source:HGNC Symbol;Acc:HGNC:2727]	144	0.7823731899261475	0.08762616	Yes	
row_10	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	166	0.766907274723053	0.09491487	Yes	
row_11	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	173	0.7624118328094482	0.10316368	Yes	
row_12	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	176	0.7597024440765381	0.111651376	Yes	
row_13	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	177	0.7591458559036255	0.12026756	Yes	
row_14	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	184	0.7563445568084717	0.1284475	Yes	
row_15	GBP5	guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]	192	0.7510424256324768	0.13649987	Yes	
row_16	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	211	0.7344765663146973	0.14362273	Yes	
row_17	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	300	0.6928027868270874	0.145554	Yes	
row_18	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	391	0.6479448080062866	0.14684135	Yes	
row_19	PARP10	poly(ADP-ribose) polymerase family member 10 [Source:HGNC Symbol;Acc:HGNC:25895]	431	0.6345653533935547	0.15141466	Yes	
row_20	LHB	luteinizing hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:6584]	462	0.6251263618469238	0.1564875	Yes	
row_21	TNFRSF11B	TNF receptor superfamily member 11b [Source:HGNC Symbol;Acc:HGNC:11909]	493	0.6169968247413635	0.16146807	Yes	
row_22	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	526	0.6063746809959412	0.16619328	Yes	
row_23	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	535	0.6043711304664612	0.17251353	Yes	
row_24	CX3CL1	C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]	539	0.6033596992492676	0.17915934	Yes	
row_25	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	541	0.6030727624893188	0.18593672	Yes	
row_26	DTX3L	deltex E3 ubiquitin ligase 3L [Source:HGNC Symbol;Acc:HGNC:30323]	544	0.6007027626037598	0.1926198	Yes	
row_27	GIMAP2	GTPase, IMAP family member 2 [Source:HGNC Symbol;Acc:HGNC:21789]	549	0.599903404712677	0.19915897	Yes	
row_28	PDZD2	PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18486]	552	0.5995311141014099	0.20582874	Yes	
row_29	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	578	0.5911154747009277	0.21085261	Yes	
row_30	RBM43	RNA binding motif protein 43 [Source:HGNC Symbol;Acc:HGNC:24790]	616	0.5813006162643433	0.21495618	Yes	
row_31	NR1D1	nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]	627	0.5773830413818359	0.22083531	Yes	
row_32	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	634	0.5761982798576355	0.22697063	Yes	
row_33	SEMA3A	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	635	0.5758281946182251	0.23350619	Yes	
row_34	NKX3-1	NK3 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7838]	644	0.5743141174316406	0.23948531	Yes	
row_35	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	650	0.5732322931289673	0.24565436	Yes	
row_36	UBQLNL	ubiquilin like [Source:HGNC Symbol;Acc:HGNC:28294]	661	0.5708275437355042	0.2514591	Yes	
row_37	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	669	0.5688111186027527	0.25744316	Yes	
row_38	KLHDC7B	kelch domain containing 7B [Source:HGNC Symbol;Acc:HGNC:25145]	676	0.5666939616203308	0.2634706	Yes	
row_39	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	686	0.5637161135673523	0.26926202	Yes	
row_40	RAET1L	retinoic acid early transcript 1L [Source:HGNC Symbol;Acc:HGNC:16798]	703	0.5586498975753784	0.27452406	Yes	
row_41	LRRN3	leucine rich repeat neuronal 3 [Source:HGNC Symbol;Acc:HGNC:17200]	717	0.555348813533783	0.2799509	Yes	
row_42	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	747	0.5484285354614258	0.28422064	Yes	
row_43	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	859	0.5255331993103027	0.28270304	Yes	
row_44	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	866	0.5240809321403503	0.28824684	Yes	
row_45	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	901	0.5174407362937927	0.29182783	Yes	
row_46	DEPP1	DEPP autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:23355]	944	0.5084532499313354	0.29476756	Yes	
row_47	SDS	serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691]	949	0.5077415704727173	0.30026072	Yes	
row_48	BDKRB2	bradykinin receptor B2 [Source:HGNC Symbol;Acc:HGNC:1030]	1006	0.4988347589969635	0.30214757	Yes	
row_49	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	1088	0.48715856671333313	0.30221668	Yes	
row_50	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	1094	0.4863850474357605	0.30740005	Yes	
row_51	OAS3	2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]	1129	0.4799100160598755	0.31055507	Yes	
row_52	ETV7	ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]	1130	0.4797782003879547	0.31600046	Yes	
row_53	TMEM140	transmembrane protein 140 [Source:HGNC Symbol;Acc:HGNC:21870]	1141	0.477973997592926	0.3207513	Yes	
row_54	PTAFR	platelet activating factor receptor [Source:HGNC Symbol;Acc:HGNC:9582]	1222	0.46618765592575073	0.32064983	Yes	
row_55	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:8725]	1264	0.4605116546154022	0.32311285	Yes	
row_56	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	1364	0.4487501084804535	0.32153267	Yes	
row_57	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	1372	0.4479124844074249	0.32614455	Yes	
row_58	FUT3	fucosyltransferase 3 (Lewis blood group) [Source:HGNC Symbol;Acc:HGNC:4014]	1412	0.443357914686203	0.3285477	Yes	
row_59	RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	1469	0.43528810143470764	0.32971328	Yes	
row_60	NEURL3	neuralized E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:25162]	1479	0.4331264793872833	0.33402252	Yes	
row_61	NPR1	natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]	1491	0.4321102499961853	0.33818543	Yes	
row_62	BCL2L14	BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657]	1512	0.4292523264884949	0.3417092	Yes	
row_63	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	1571	0.42093217372894287	0.34257704	Yes	
row_64	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	1572	0.42085057497024536	0.34735364	Yes	
row_65	CD69	CD69 molecule [Source:HGNC Symbol;Acc:HGNC:1694]	1624	0.41352325677871704	0.34860924	Yes	
row_66	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	1646	0.41118285059928894	0.35186055	Yes	
row_67	XKR9	XK related 9 [Source:HGNC Symbol;Acc:HGNC:20937]	1655	0.410210520029068	0.35597712	Yes	
row_68	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2 [Source:HGNC Symbol;Acc:HGNC:29836]	1661	0.4097423255443573	0.3602906	Yes	
row_69	DUOX2	dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273]	1714	0.40466490387916565	0.36137825	Yes	
row_70	LGALS9	galectin 9 [Source:HGNC Symbol;Acc:HGNC:6570]	1718	0.40432459115982056	0.36576504	Yes	
row_71	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	1758	0.3989335894584656	0.36766395	Yes	
row_72	SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	1807	0.3944375216960907	0.36890516	Yes	
row_73	SELE	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]	1855	0.38993075489997864	0.37016264	Yes	
row_74	THEMIS2	thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]	1866	0.38843104243278503	0.3738972	Yes	
row_75	TRIM22	tripartite motif containing 22 [Source:HGNC Symbol;Acc:HGNC:16379]	1959	0.3805437982082367	0.37201476	Yes	
row_76	DUOX1	dual oxidase 1 [Source:HGNC Symbol;Acc:HGNC:3062]	1960	0.3804973363876343	0.37633336	Yes	
row_77	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	1973	0.3794270157814026	0.3798309	Yes	
row_78	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	1995	0.37835896015167236	0.38270962	Yes	
row_79	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	2022	0.375887930393219	0.3852233	Yes	
row_80	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	2057	0.3730376958847046	0.38716534	Yes	
row_81	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	2068	0.3718704581260681	0.39071193	Yes	
row_82	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	2096	0.3690379858016968	0.39308044	Yes	
row_83	XAF1	XIAP associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30932]	2113	0.36734873056411743	0.39617124	Yes	
row_84	OAS2	2'-5'-oligoadenylate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:8087]	2120	0.3666486442089081	0.3999282	Yes	
row_85	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2139	0.3645748198032379	0.40285274	Yes	
row_86	ANKRD33B	ankyrin repeat domain 33B [Source:HGNC Symbol;Acc:HGNC:35240]	2140	0.3645622432231903	0.40699047	Yes	
row_87	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	2180	0.3602983355522156	0.40845087	Yes	
row_88	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	2207	0.3581940531730652	0.4107637	Yes	
row_89	CNTN4	contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]	2223	0.3562399744987488	0.41379586	Yes	
row_90	GBX2	gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4186]	2286	0.34990331530570984	0.4135879	Yes	
row_91	SERPINB7	serpin family B member 7 [Source:HGNC Symbol;Acc:HGNC:13902]	2309	0.34821587800979614	0.4160571	Yes	
row_92	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	2312	0.34803128242492676	0.4198724	Yes	
row_93	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	2400	0.34036508202552795	0.417871	Yes	
row_94	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14 [Source:HGNC Symbol;Acc:HGNC:23238]	2469	0.3353480398654938	0.4170934	Yes	
row_95	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	2486	0.3341938853263855	0.4198079	Yes	
row_96	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]	2497	0.3334636390209198	0.4229186	Yes	
row_97	HELZ2	helicase with zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:30021]	2589	0.3271230459213257	0.42049724	Yes	
row_98	DNAH17	dynein axonemal heavy chain 17 [Source:HGNC Symbol;Acc:HGNC:2946]	2594	0.3267245888710022	0.4239359	Yes	
row_99	CSRNP1	cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]	2652	0.32139214873313904	0.42374137	Yes	
