NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	8	1.1583409309387207	0.023558747	Yes	
row_1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	54	0.909200131893158	0.039458983	Yes	
row_2	IRF2	interferon regulatory factor 2 [Source:HGNC Symbol;Acc:HGNC:6117]	76	0.8635164499282837	0.056015182	Yes	
row_3	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]	105	0.8175236582756042	0.07114623	Yes	
row_4	PHEX	phosphate regulating endopeptidase X-linked [Source:HGNC Symbol;Acc:HGNC:8918]	129	0.7960705161094666	0.08616566	Yes	
row_5	PCLO	piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]	280	0.6992377638816833	0.09067139	Yes	
row_6	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]	367	0.6626502275466919	0.0986993	Yes	
row_7	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	391	0.6479448080062866	0.110637635	Yes	
row_8	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	410	0.6405680179595947	0.12275716	Yes	
row_9	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	501	0.614895761013031	0.12952405	Yes	
row_10	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	506	0.6136736273765564	0.1420211	Yes	
row_11	CTSO	cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	522	0.6080960631370544	0.15366597	Yes	
row_12	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	553	0.5995107889175415	0.16412838	Yes	
row_13	KCNIP3	potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523]	625	0.5780251026153564	0.17139992	Yes	
row_14	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	650	0.5732322931289673	0.18171726	Yes	
row_15	DOCK9	dedicator of cytokinesis 9 [Source:HGNC Symbol;Acc:HGNC:14132]	673	0.5673581957817078	0.19204628	Yes	
row_16	ADRA2B	adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]	830	0.5321000218391418	0.19267389	Yes	
row_17	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	935	0.5098968148231506	0.19631979	Yes	
row_18	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	953	0.5070358514785767	0.2057287	Yes	
row_19	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	1161	0.47538521885871887	0.2017634	Yes	
row_20	F8	coagulation factor VIII [Source:HGNC Symbol;Acc:HGNC:3546]	1455	0.4379971921443939	0.19126485	Yes	
row_21	PRSS36	serine protease 36 [Source:HGNC Symbol;Acc:HGNC:26906]	1466	0.43564435839653015	0.19965725	Yes	
row_22	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	1468	0.43529605865478516	0.20864472	Yes	
row_23	SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	1481	0.432934433221817	0.2168469	Yes	
row_24	FCER1G	Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	1550	0.4236052334308624	0.2211072	Yes	
row_25	KLK1	kallikrein 1 [Source:HGNC Symbol;Acc:HGNC:6357]	1564	0.42197486758232117	0.22901449	Yes	
row_26	MMP13	matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]	1646	0.41118285059928894	0.23214637	Yes	
row_27	PLA2G7	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	1795	0.39560866355895996	0.23047028	Yes	
row_28	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	1845	0.3907448351383209	0.23531865	Yes	
row_29	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1893	0.38581961393356323	0.24019842	Yes	
row_30	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	2010	0.37688079476356506	0.24027441	Yes	
row_31	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	2018	0.37626582384109497	0.24763247	Yes	
row_32	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	2068	0.3718704581260681	0.25208825	Yes	
row_33	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2139	0.3645748198032379	0.25498682	Yes	
row_34	CASP5	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]	2244	0.3543030917644501	0.25539628	Yes	
row_35	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	2266	0.3519781827926636	0.2613122	Yes	
row_36	LIPA	lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]	2398	0.3406206965446472	0.25963005	Yes	
row_37	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	2421	0.3386108875274658	0.265201	Yes	
row_38	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	2441	0.3373492956161499	0.27094647	Yes	
row_39	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	2751	0.3138291537761688	0.25679433	Yes	
row_40	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	2777	0.31197571754455566	0.26161048	Yes	
row_41	GP1BA	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	2797	0.3102213442325592	0.26679167	Yes	
row_42	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	2938	0.29827743768692017	0.26362646	Yes	
row_43	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	2978	0.2959502935409546	0.2671723	Yes	
row_44	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	2981	0.29567262530326843	0.27318862	Yes	
row_45	GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	3181	0.28227925300598145	0.265742	Yes	
row_46	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	3276	0.27744653820991516	0.26522207	Yes	
row_47	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	3316	0.27528372406959534	0.26833802	Yes	
row_48	GZMK	granzyme K [Source:HGNC Symbol;Acc:HGNC:4711]	3363	0.2727675139904022	0.27093318	Yes	
row_49	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]	3369	0.2723844647407532	0.2762643	Yes	
row_50	AKAP10	A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]	3391	0.27144762873649597	0.28050515	Yes	
row_51	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	3436	0.268463671207428	0.28314462	Yes	
row_52	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	3449	0.2679397165775299	0.2879148	Yes	
row_53	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	3460	0.26737701892852783	0.29280716	Yes	
row_54	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	3532	0.2622371315956116	0.29351014	Yes	
row_55	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	3625	0.254397988319397	0.29264462	Yes	
row_56	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	3666	0.25131264328956604	0.29519504	Yes	
row_57	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	3835	0.23938582837581635	0.28893092	Yes	
row_58	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	3848	0.23825465142726898	0.29308364	Yes	
row_59	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	3859	0.23724748194217682	0.29734927	Yes	
row_60	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	3940	0.23058244585990906	0.2967915	No	
row_61	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	4192	0.21258807182312012	0.28441516	No	
row_62	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	4242	0.20953279733657837	0.2854942	No	
row_63	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	4244	0.20936065912246704	0.2897821	No	
