NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	85	0.8497140407562256	0.011508834	Yes	
row_1	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	90	0.8412389159202576	0.028270692	Yes	
row_2	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	111	0.8134878873825073	0.04339924	Yes	
row_3	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	212	0.7320029139518738	0.05152062	Yes	
row_4	CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	230	0.7156959176063538	0.06487042	Yes	
row_5	CLIC3	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	292	0.6954410076141357	0.07486349	Yes	
row_6	DNAJC12	DnaJ heat shock protein family (Hsp40) member C12 [Source:HGNC Symbol;Acc:HGNC:28908]	386	0.6507301330566406	0.0818084	Yes	
row_7	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	424	0.6377860307693481	0.092241615	Yes	
row_8	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	500	0.615002453327179	0.099668734	Yes	
row_9	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	501	0.614895761013031	0.11211646	Yes	
row_10	SOX3	SRY-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11199]	566	0.5961717367172241	0.11989905	Yes	
row_11	TMPRSS3	transmembrane serine protease 3 [Source:HGNC Symbol;Acc:HGNC:11877]	729	0.5533201098442078	0.12025108	Yes	
row_12	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	750	0.5470845103263855	0.12998666	Yes	
row_13	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	872	0.5228098034858704	0.13246684	Yes	
row_14	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	877	0.5220950245857239	0.14276806	Yes	
row_15	TOB1	transducer of ERBB2, 1 [Source:HGNC Symbol;Acc:HGNC:11979]	893	0.5187100768089294	0.15226409	Yes	
row_16	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	931	0.510986864566803	0.16013043	Yes	
row_17	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	1003	0.4993196129798889	0.16548358	Yes	
row_18	SCUBE2	signal peptide, CUB domain and EGF like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30425]	1029	0.4956977963447571	0.17384405	Yes	
row_19	BLVRB	biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]	1055	0.4932709038257599	0.18215539	Yes	
row_20	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:8821]	1171	0.4740530252456665	0.18405037	Yes	
row_21	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	1196	0.47101786732673645	0.1919782	Yes	
row_22	AGR2	anterior gradient 2, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:328]	1252	0.46232226490974426	0.19765392	Yes	
row_23	TIAM1	TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]	1271	0.4597019851207733	0.2057545	Yes	
row_24	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	1470	0.4351840615272522	0.2013041	Yes	
